리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
13390121,gg*****,2024-03-20 15:08:26.344624,작가의 책들을 여러권 읽으면서 도움을 받았던 기억이 있는데 이번에 절판된 책이 재출판 됐다길래 주문했습니다 자기계발 책이 필요한 시기라 두고두고 읽으려고 합니다,도움돼요,4
13390105,hu******,2024-03-20 15:05:22.334064,예전에 읽었던 책을 이렇게 다시 만나게 되니까 감회가 새록새록합니다 좋은책이니 얼른 읽고 주변친구들에게도 열심히 추천해줘야겠어요,추천해요,4
13390063,ku******,2024-03-20 14:54:33.186,"선물용으로 구매했어요. 
절판된 책이 다시 나왔다고 하니 의미있는 책 선물이 될 듯 해요.",도움돼요,4
13390031,bl***,2024-03-20 14:50:07.781965,"절판된 책 다시 나왔다고 해서 주문해요.
일류가 되기 위한 7가지 핵심 원칙.. 저 부분 보니까 난 뭐 저렇게 열심히 해 본 적이 있나? 싶네요. 한 번씩 뭐 다 하기 귀찮은 날 드라마는 좀 질려서 생각비울겸 읽으려는데 책 읽으면 생각이 더 늘어나네요..",추천해요,4
13389921,si*******,2024-03-20 14:36:26.281321,"자기계발을 생각만 하고 있었는데 구체적으로 안내 받은 느낌이에요. 
재출간 됐다고 해서 바로 구매했어요!",도움돼요,4
13389701,ck*****,2024-03-20 14:05:24.520406,다시 출간된거 보고 구매했어요 오랜만에 읽을 생각에 설레입니다,집중돼요,4
13389662,ri******,2024-03-20 14:00:41.107513,"이번에 절판된 책 다시 나온다해서 언능 구매했어요 단독자, 혼자있는 시간의 힘 등과 같은 작가라 읽고 싶었는데 기대됩니다 ",추천해요,4
13389633,my********,2024-03-20 13:55:47.615327,절판됐던 책이라서 중고로도 찾기 힘들었어요. 이렇게 다시 출간되어서 기뻐요!,최고예요,4
13389533,nu*****,2024-03-20 13:37:22.144034,"자기계발을 위해 필수 책이라 읽고 싶었는데 예약이 가능해 후다닥 주문했어요
필사하면서 볼거라 내용 너무 기대됩니다",추천해요,4
13389521,ce******,2024-03-20 13:33:16.083103,기다리던 복간 소식 듣자마자 구매했어요. 이책을 다시 나오게 해주시다니 감사합니다. ,최고예요,4
13389495,pl*****,2024-03-20 13:26:48.057663,뇌과학 전문가인 박문호 박사님 추천도서에 이끌려 구맸어요ㅋ 어서 배송 왔으면ㅠㅠ 일과 가정에 치여사는데 스스로를 다잡고 일어설 수 있게 자기계발에 관심 많은 요즘입니다ㅋ 너무 도움될듯!,최고예요,4
13389483,pu***************,2024-03-20 13:25:02.642215,"예전에 재밌게 읽었었는데
선물 주려니 절판이더라구요
중고로도 구하기 어렵고 다시 나와서 선물 주려고 구매합니다",집중돼요,4
13389474,ka******,2024-03-20 13:22:06.511182,자기개발서 찾아보다 뇌과학 박문호박사님 추천책이라 구매해요,추천해요,4
13661081,no**************,2024-04-30 13:13:59.069493,일류가 되기 위한 여러가지 조건들을 일본의 유명한 인물들 사례를 통해 나열하는 책,도움돼요,4
13624589,83*****,2024-04-23 20:35:18.970414,"박문호박사님 추천으로 구매 ,기대!",쉬웠어요,4
13616578,wl*******,2024-04-22 10:23:52.048898,책 일류의 조건 추천합니다,도움돼요,4
13612278,rx****,2024-04-21 14:20:16.802946,내용이 도움이 많이됩니다.,추천해요,4
13612102,wa******,2024-04-21 13:22:55.241463,좋아요 감사합니다 ,도움돼요,4
13389468,sm******,2024-03-20 13:19:23.808774,"절판되어 항상 아쉬웠는데 나와서 너무 좋습니다
읽고 또 읽고 자주 읽어 근본적인 힘을 얻어보겠습니다!",최고예요,4
13389461,mp****,2024-03-20 13:17:40.176758,"절판되서 아쉬었는데 다시 나오게 되서 넘 좋네요
박문호 박사님 추천이라서 바로 구매했어요",도움돼요,4
13389446,su*****,2024-03-20 13:14:12.337742,"안그래도 읽어보고 싶었던 책인데 다시 나와 너무 반갑네요.
박문호 박사님 추천이라 바로 구매했습니다 ^^
",집중돼요,4
13389410,m7*****,2024-03-20 13:09:55.474254,박문호박사님 추천으로 읽어보고 싶어 구매했어요.  절판이라 아쉬웠는데 재출간되어  기쁩니다.,도움돼요,4
13389337,wo*******,2024-03-20 12:59:25.551046,"뇌과학 전문가이신 박문호 박사님의 추천이어서 바로 구매했습니다
요번에 새로 판매해서 넘 좋아요!! 자기개발 도서로 추천드립니다
",추천해요,4
13389209,sa******,2024-03-20 12:35:10.228512,애타게 기다렸습니다 절판되어서 아쉬웠는데 재출간 소식에 달려왔어요 기대중입니다 ㅎㅎ,최고예요,4
13389095,go******,2024-03-20 12:05:36.654377,"박문호 박사님의 동영상에서도 추천을 받았지만 독서모임에서 먼저 추천받고 궁금했었는데 주변지인들도 많이들 읽으셨더라구요. 그래서 더욱 궁금했던 책인데
 지인이 다시 재출간되었다는 소식을 알려주어서 기쁜마음에 구매를 했네요.
  천천히 읽으며 제 삶이 좀 더 견고해지는 여정이 되길 기대하면서 한장한장 넘겨 가볼까 합니다
",도움돼요,4
